Time: 10000.000000
10 1 0.00303231
10 2 0.0028517
10 3 0.00749792
10 4 0.00150739
10 5 0.000125916
10 6 1
11 0 0.000523228
11 1 0.0027037
11 2 0.00254265
11 3 0.00668574
11 4 0.00134405
11 5 0.000112276
11 6 1
12 0 0.000442814
12 1 0.00228813
12 2 0.00215186
12 3 0.00565817
12 4 0.00113746
12 5 9.50187e-05
12 6 1
13 0 0.000347547
13 1 0.00179586
13 2 0.00168889
13 3 0.00444081
13 4 0.000892769
13 5 7.45761e-05
13 6 1
14 0 0.000239425
14 1 0.00123716
14 2 0.00116349
14 3 0.0030593
14 4 0.000615008
14 5 5.13759e-05
14 6 1
15 0 0.000120381
15 1 0.00062207
15 2 0.000585019
15 3 0.00153824
15 4 0.000309241
15 5 2.58319e-05
15 6 1
Time: 0.900000
0 0 0.000174427
0 1 0.000900463
0 2 0.000843625
0 3 0.00219663
0 4 0.000424402
0 5 3.33101e-05
0 6 1
1 0 0.000314488
1 1 0.00162348
1 2 0.00152104
1 3 0.00396058
1 4 0.00076518
1 5 6.0057e-05
1 6 1
2 0 0.000435477
2 1 0.0022481
2 2 0.00210621
2 3 0.0054843
2 4 0.00105957
2 5 8.3163e-05
2 6 1
3 0 0.00053794
3 1 0.00277707
3 2 0.0026018
3 3 0.0067746
3 4 0.00130885
3 5 0.000102729
3 6 1
4 0 0.000621288
4 1 0.00320738
4 2 0.00300488
4 3 0.00782429
4 4 0.00151166
4 5 0.000118642
4 6 1
5 0 0.000684239
5 1 0.00353229
5 2 0.00330938
5 3 0.00861693
5 4 0.00166482
5 5 0.000130663
5 6 1
6 0 0.000725389
6 1 0.00374479
6 2 0.00350844
6 3 0.00913527
6 4 0.001765
6 5 0.00013853
6 6 1
7 0 0.000743691
7 1 0.00383919
7 2 0.00359691
7 3 0.00936547
7 4 0.00180949
7 5 0.000142024
7 6 1
8 0 0.000738634
8 1 0.0038131
8 2 0.00357248
8 3 0.00930205
8 4 0.00179719
8 5 0.000141052
8 6 1
9 0 0.000710381
9 1 0.00366724
9 2 0.00343583
9 3 0.00894657
9 4 0.00172843
9 5 0.000135661
9 6 1
10 0 0.000659762
10 1 0.00340595
10 2 0.00319099
10 3 0.00830842
10 4 0.00160527
10 5 0.000125989
10 6 1
11 0 0.000588264
11 1 0.00303686
11 2 0.00284517
11 3 0.00740844
11 4 0.00143133
11 5 0.000112341
11 6 1
12 0 0.000497855
12 1 0.00257008
12 2 0.00240788
12 3 0.0062698
12 4 0.00121133
12 5 9.50735e-05
12 6 1
13 0 0.000390747
13 1 0.00201715
13 2 0.00188984
13 3 0.00492085
13 4 0.000950744
13 5 7.46191e-05
13 6 1
14 0 0.000269185
14 1 0.0013896
14 2 0.00130193
14 3 0.00339
14 4 0.000654945
14 5 5.14055e-05
14 6 1
15 0 0.000135344
15 1 0.000698722
15 2 0.000654624
15 3 0.00170451
15 4 0.000329322
15 5 2.58468e-05
15 6 1
Time: 1.000000
0 0 0.000193687
0 1 0.000998933
0 2 0.000932354
0 3 0.00240423
0 4 0.000447013
0 5 3.33182e-05
0 6 1
1 0 0.000349213
1 1 0.00180101
1 2 0.00168102
1 3 0.00433488
1 4 0.000805947
1 5 6.00715e-05
1 6 1
2 0 0.000483561
2 1 0.00249394
2 2 0.00232773
2 3 0.0060026
2 4 0.00111602
2 5 8.31832e-05
2 6 1
3 0 0.000597339
3 1 0.00308076
3 2 0.00287544
3 3 0.00741486
3 4 0.00137858
3 5 0.000102754
3 6 1
4 0 0.000689889
4 1 0.00355813
4 2 0.00332092
4 3 0.00856375
4 4 0.00159219
4 5 0.000118671
4 6 1
5 0 0.000759791
5 1 0.00391856
5 2 0.00365745
5 3 0.00943129
5 4 0.00175352
5 5 0.000130694
5 6 1
6 0 0.000805485
6 1 0.0041543
6 2 0.00387744
6 3 0.00999863
6 4 0.00185903
6 5 0.000138563
6 6 1
7 0 0.000825808
7 1 0.00425902
7 2 0.00397522
7 3 0.0102506
7 4 0.00190589
7 5 0.000142058
7 6 1
8 0 0.000820193
8 1 0.00423009
8 2 0.00394821
8 3 0.0101812
8 4 0.00189294
8 5 0.000141086
8 6 1
9 0 0.00078882
9 1 0.00406827
9 2 0.00379719
9 3 0.00979209
9 4 0.00182051
9 5 0.000135694
9 6 1
10 0 0.000732612
10 1 0.0037784
10 2 0.00352661
10 3 0.00909364
10 4 0.0016908
10 5 0.000126019
10 6 1
11 0 0.000653219
11 1 0.00336895
11 2 0.00314442
11 3 0.0081086
11 4 0.00150758
11 5 0.000112368
11 6 1
12 0 0.000552828
12 1 0.00285113
12 2 0.00266113
12 3 0.00686235
12 4 0.00127586
12 5 9.50966e-05
12 6 1
13 0 0.000433893
13 1 0.00223773
13 2 0.0020886
13 3 0.00538591
13 4 0.0010014
13 5 7.46373e-05
13 6 1
14 0 0.000298908
14 1 0.00154156
14 2 0.00143886
14 3 0.00371038
14 4 0.000689839
14 5 5.1418e-05
14 6 1
15 0 0.000150289
15 1 0.00077513
15 2 0.000723474
15 3 0.0018656
15 4 0.000346868
15 5 2.58531e-05
15 6 1
Time: 1.100000
0 0 0.000212923
0 1 0.00109709
0 2 0.00102012
0 3 0.00260535
0 4 0.000466769
0 5 3.33216e-05
0 6 1
1 0 0.000383895
1 1 0.00197798
1 2 0.00183926
1 3 0.00469751
1 4 0.000841565
1 5 6.00777e-05
1 6 1
2 0 0.000531586
2 1 0.002739
2 2 0.00254686
2 3 0.00650474
2 4 0.00116535
2 5 8.31917e-05
2 6 1
3 0 0.000656663
3 1 0.00338348
3 2 0.00314612
3 3 0.00803513
3 4 0.00143951
3 5 0.000102764
3 6 1
4 0 0.000758405
4 1 0.00390775
4 2 0.00363354
4 3 0.00928014
4 4 0.00166256
4 5 0.000118683
4 6 1
5 0 0.00083525
5 1 0.00430361
5 2 0.00400174
5 3 0.0102203
5 4 0.00183101
5 5 0.000130708
5 6 1
6 0 0.000885481
6 1 0.00456251
6 2 0.00424244
6 3 0.010835
6 4 0.00194119
6 5 0.000138578
6 6 1
7 0 0.000907822
7 1 0.00467752
7 2 0.00434942
7 3 0.0111081
7 4 0.00199012
7 5 0.000142073
7 6 1
8 0 0.00090165
8 1 0.00464574
8 2 0.00431988
8 3 0.0110329
8 4 0.0019766
8 5 0.000141101
8 6 1
9 0 0.000867161
9 1 0.00446803
9 2 0.00415464
9 3 0.0106112
9 4 0.00190097
9 5 0.000135707
9 6 1
10 0 0.00080537
10 1 0.00414968
10 2 0.00385859
10 3 0.00985435
10 4 0.00176552
10 5 0.000126032
10 6 1
11 0 0.000718093
11 1 0.00369999
11 2 0.00344042
11 3 0.00878691
11 4 0.00157421
11 5 0.000112379
11 6 1
12 0 0.000607731
12 1 0.00313128
12 2 0.00291164
12 3 0.0074364
12 4 0.00133225
12 5 9.51063e-05
12 6 1
13 0 0.000476984
13 1 0.00245762
13 2 0.00228521
13 3 0.00583645
13 4 0.00104565
13 5 7.46449e-05
13 6 1
14 0 0.000328594
14 1 0.00169304
14 2 0.0015743
14 3 0.00402077
14 4 0.000720327
14 5 5.14232e-05
14 6 1
15 0 0.000165215
15 1 0.000851296
15 2 0.000791579
15 3 0.00202167
15 4 0.000362197
15 5 2.58557e-05
15 6 1
Time: 1.200000
0 0 0.000232135
0 1 0.00119494
0 2 0.00110694
0 3 0.0028002
0 4 0.00048403
0 5 3.3323e-05
0 6 1
1 0 0.000418533
1 1 0.00215439
1 2 0.00199579
1 3 0.00504882
1 4 0.000872686
1 5 6.00803e-05
1 6 1
2 0 0.000579551
2 1 0.00298328
2 2 0.0027636
2 3 0.00699121
2 4 0.00120844
2 5 8.31953e-05
2 6 1
3 0 0.000715913
3 1 0.00368524
3 2 0.00341387
3 3 0.00863605
3 4 0.00149274
3 5 0.000102769
3 6 1
4 0 0.000826835
4 1 0.00425627
4 2 0.00394276
4 3 0.00997417
4 4 0.00172404
4 5 0.000118688
4 6 1
5 0 0.000910613
5 1 0.00468743
5 2 0.0043423
5 3 0.0109846
5 4 0.00189872
5 5 0.000130713
5 6 1
6 0 0.000965378
6 1 0.00496942
6 2 0.00460349
6 3 0.0116454
6 4 0.00201298
6 5 0.000138584
6 6 1
7 0 0.000989734
7 1 0.00509469
7 2 0.00471957
7 3 0.0119388
7 4 0.00206372
7 5 0.000142079
7 6 1
8 0 0.000983005
8 1 0.00506008
8 2 0.00468752
8 3 0.011858
8 4 0.0020497
8 5 0.000141107
8 6 1
9 0 0.000945404
9 1 0.00486652
9 2 0.00450822
9 3 0.0114048
9 4 0.00197127
9 5 0.000135713
9 6 1
10 0 0.000878038
10 1 0.00451977
10 2 0.00418696
10 3 0.0105913
10 4 0.00183081
10 5 0.000126038
10 6 1
11 0 0.000782886
11 1 0.00402998
11 2 0.00373321
11 3 0.00944405
11 4 0.00163242
11 5 0.000112384
11 6 1
12 0 0.000662566
12 1 0.00341055
12 2 0.00315943
12 3 0.00799255
12 4 0.00138152
12 5 9.51104e-05
12 6 1
13 0 0.000520022
13 1 0.0026768
13 2 0.00247969
13 3 0.00627294
13 4 0.00108432
13 5 7.46481e-05
13 6 1
14 0 0.000358242
14 1 0.00184403
14 2 0.00170828
14 3 0.00432147
14 4 0.000746964
14 5 5.14255e-05
14 6 1
15 0 0.000180122
15 1 0.00092722
15 2 0.000858945
